"Rank","Eta","Debiased_objective","Zero_proportion","Nonzero_count"
1,1e-04,3.49536202188516,0,9
1,3e-04,3.49660791896997,0,9
1,5e-04,3.49922980036241,0,9
1,7e-04,3.50315419722123,0,9
1,0.001,3.51204063746503,0.111111111111111,8
1,0.0012,3.51988977543267,0.222222222222222,7
1,0.0015,3.52704791096731,0.444444444444444,5
1,0.002,3.53742927836491,0.444444444444444,5
1,0.0025,3.55176394997378,0.444444444444444,5
1,0.003,3.56314165609215,0.666666666666667,3
1,0.004,3.5729321093725,0.777777777777778,2
1,0.005,3.58269211021084,0.777777777777778,2
1,0.01,3.62436234431644,0.888888888888889,1
2,1e-04,3.43951315140062,0,18
2,3e-04,3.44168148415419,0.0555555555555556,17
2,5e-04,3.44601286607795,0.111111111111111,16
2,7e-04,3.45278075617417,0.222222222222222,14
2,0.001,3.4624616886235,0.444444444444444,10
2,0.0012,3.46842500607181,0.444444444444444,10
2,0.0015,3.47871042513767,0.5,9
2,0.002,3.49913106505528,0.5,9
2,0.0025,3.52178581032044,0.666666666666667,6
2,0.003,3.5318438282027,0.777777777777778,4
2,0.004,3.5482518449409,0.833333333333333,3
2,0.005,3.56800952955077,0.833333333333333,3
2,0.01,3.62436234431644,0.944444444444444,1
