"sim_name","me_weight","effect_weight","eta","objective","objective_sd","zero_prop","n_zero","n_nonzero","success_rate","objective_min","objective_increase","objective_increase_pct"
"me_1_effect_0.25",1,0.25,1e-05,2.77550175730973,NA,0,0,18,1,2.77550175730973,0,0
"me_1_effect_0.25",1,0.25,1.37382379588326e-05,2.77551854445056,NA,0,0,18,1,2.77550175730973,1.67871408245368e-05,0.000604832649819989
"me_1_effect_0.25",1,0.25,1.8873918221351e-05,2.77555155406044,NA,0,0,18,1,2.77550175730973,4.9796750707376e-05,0.00179415309596646
"me_1_effect_0.25",1,0.25,2.59294379740467e-05,2.77561485238925,NA,0,0,18,1,2.77550175730973,0.000113095079523173,0.00407476158951509
"me_1_effect_0.25",1,0.25,3.56224789026244e-05,2.77572632218746,NA,0.0185185185185185,0.333333333333333,17.6666666666667,1,2.77550175730973,0.000224564877725708,0.00809096507088422
"me_1_effect_0.25",1,0.25,4.8939009184775e-05,2.77592710999793,NA,0.0185185185185185,0.333333333333333,17.6666666666667,1,2.77550175730973,0.00042535268820032,0.0153252537880794
"me_1_effect_0.25",1,0.25,6.72335753649933e-05,2.7763051462655,NA,0.0185185185185185,0.333333333333333,17.6666666666667,1,2.77550175730973,0.000803388955770146,0.0289457195858115
"me_1_effect_0.25",1,0.25,9.23670857187387e-05,2.77701362891647,NA,0.037037037037037,0.666666666666667,17.3333333333333,1,2.77550175730973,0.00151187160673683,0.0544720104303688
"me_1_effect_0.25",1,0.25,0.000126896100316792,2.77824642919894,NA,0.0555555555555556,1,17,1,2.77550175730973,0.00274467188921079,0.0988892146071339
"me_1_effect_0.25",1,0.25,0.000174332882219999,2.78051173704778,NA,0.0555555555555556,1,17,1,2.77550175730973,0.00500997973804473,0.180507172256337
"me_1_effect_0.25",1,0.25,0.000239502661998749,2.78469709276212,NA,0.0555555555555556,1,17,1,2.77550175730973,0.00919533545238727,0.331303535592073
"me_1_effect_0.25",1,0.25,0.000329034456231267,2.79261314112278,NA,0.0555555555555556,1,17,1,2.77550175730973,0.0171113838130514,0.616514969518065
"me_1_effect_0.25",1,0.25,0.000452035365636024,2.80315185124794,NA,0.148148148148148,2.66666666666667,15.3333333333333,1,2.77550175730973,0.0276500939382078,0.996219651649899
"me_1_effect_0.25",1,0.25,0.000621016941891562,2.82264518941273,NA,0.240740740740741,4.33333333333333,13.6666666666667,1,2.77550175730973,0.0471434321030011,1.69855529649157
"me_1_effect_0.25",1,0.25,0.000853167852417281,2.85346050404249,NA,0.314814814814815,5.66666666666667,12.3333333333333,1,2.77550175730973,0.0779587467327567,2.8088163348281
"me_1_effect_0.25",1,0.25,0.001,2.87454200827686,NA,0.333333333333333,6,12,1,2.77550175730973,0.0990402509671293,3.56837284308291
"me_1_effect_0.25",1,0.25,0.00117210229753348,2.89712264704116,NA,0.388888888888889,7,11,1,2.77550175730973,0.121620889731425,4.38194245098629
"me_1_effect_0.25",1,0.25,0.00161026202756094,2.96224422471807,NA,0.425925925925926,7.66666666666667,10.3333333333333,1,2.77550175730973,0.186742467408342,6.72824172841994
"me_1_effect_0.25",1,0.25,0.00221221629107045,3.0486586869481,NA,0.555555555555556,10,8,1,2.77550175730973,0.273156929638365,9.84171344582875
"me_1_effect_0.25",1,0.25,0.0030391953823132,3.15772932631517,NA,0.611111111111111,11,7,1,2.77550175730973,0.382227569005444,13.7714763825599
"me_1_effect_0.25",1,0.25,0.0041753189365604,3.28347730824135,NA,0.703703703703704,12.6666666666667,5.33333333333333,1,2.77550175730973,0.507975550931621,18.3021159901551
"me_1_effect_0.25",1,0.25,0.00573615251044868,3.4468980271914,NA,0.759259259259259,13.6666666666667,4.33333333333333,1,2.77550175730973,0.671396269881666,24.1900862830815
"me_1_effect_0.25",1,0.25,0.00788046281566991,3.65040380579206,NA,0.87037037037037,15.6666666666667,2.33333333333333,1,2.77550175730973,0.874902048482329,31.5223020910772
"me_1_effect_0.25",1,0.25,0.0108263673387405,3.91001388237796,NA,0.87037037037037,15.6666666666667,2.33333333333333,1,2.77550175730973,1.13451212506823,40.8759289047579
"me_1_effect_0.25",1,0.25,0.0148735210729351,4.14237956659491,NA,1,18,0,1,2.77550175730973,1.36687780928518,49.2479533001658
"me_1_effect_0.25",1,0.25,0.0204335971785694,4.14237956659491,NA,1,18,0,1,2.77550175730973,1.36687780928518,49.2479533001658
"me_1_effect_0.25",1,0.25,0.0280721620394118,4.14237956659491,NA,1,18,0,1,2.77550175730973,1.36687780928518,49.2479533001658
"me_1_effect_0.25",1,0.25,0.0385662042116347,4.14237956659491,NA,1,18,0,1,2.77550175730973,1.36687780928518,49.2479533001658
"me_1_effect_0.25",1,0.25,0.0529831690628371,4.14237956659491,NA,1,18,0,1,2.77550175730973,1.36687780928518,49.2479533001658
"me_1_effect_0.25",1,0.25,0.0727895384398315,4.14237956659491,NA,1,18,0,1,2.77550175730973,1.36687780928518,49.2479533001658
"me_1_effect_0.25",1,0.25,0.1,4.14237956659491,NA,1,18,0,1,2.77550175730973,1.36687780928518,49.2479533001658
"me_1_effect_1",1,1,1e-05,2.90450952107935,NA,0,0,18,1,2.90450952107935,0,0
"me_1_effect_1",1,1,1.37382379588326e-05,2.90451201304312,NA,0,0,18,1,2.90450952107935,2.49196377133387e-06,8.57963712375033e-05
"me_1_effect_1",1,1,1.8873918221351e-05,2.90451678932147,NA,0,0,18,1,2.90450952107935,7.26824211394472e-06,0.000250239913527422
"me_1_effect_1",1,1,2.59294379740467e-05,2.90452580389115,NA,0,0,18,1,2.90450952107935,1.62828117935554e-05,0.000560604524632596
"me_1_effect_1",1,1,3.56224789026244e-05,2.90454281757323,NA,0,0,18,1,2.90450952107935,3.32964938749569e-05,0.001146372343878
"me_1_effect_1",1,1,4.8939009184775e-05,2.90457492819141,NA,0,0,18,1,2.90450952107935,6.54071120593791e-05,0.00225191591160882
"me_1_effect_1",1,1,6.72335753649933e-05,2.90463553129248,NA,0,0,18,1,2.90450952107935,0.000126010213127969,0.00433843346745658
"me_1_effect_1",1,1,9.23670857187387e-05,2.90474990737088,NA,0,0,18,1,2.90450952107935,0.000240386291529227,0.00827631274005588
"me_1_effect_1",1,1,0.000126896100316792,2.90496576434182,NA,0,0,18,1,2.90450952107935,0.000456243262465961,0.0157081000821238
"me_1_effect_1",1,1,0.000174332882219999,2.9053731335053,NA,0,0,18,1,2.90450952107935,0.000863612425948013,0.029733503012484
"me_1_effect_1",1,1,0.000239502661998749,2.90614189825515,NA,0,0,18,1,2.90450952107935,0.00163237717579356,0.0562014744295606
"me_1_effect_1",1,1,0.000329034456231267,2.90758665579134,NA,0.0185185185185185,0.333333333333333,17.6666666666667,1,2.90450952107935,0.00307713471198756,0.105943350836187
"me_1_effect_1",1,1,0.000452035365636024,2.91030077200879,NA,0.0185185185185185,0.333333333333333,17.6666666666667,1,2.90450952107935,0.00579125092943844,0.199388257721611
"me_1_effect_1",1,1,0.000621016941891562,2.91527306485285,NA,0.037037037037037,0.666666666666667,17.3333333333333,1,2.90450952107935,0.0107635437735016,0.370580426587886
"me_1_effect_1",1,1,0.000853167852417281,2.92429260527401,NA,0.0925925925925926,1.66666666666667,16.3333333333333,1,2.90450952107935,0.0197830841946622,0.681116176452078
"me_1_effect_1",1,1,0.001,2.93137646337489,NA,0.12962962962963,2.33333333333333,15.6666666666667,1,2.90450952107935,0.0268669422955385,0.92500789205726
"me_1_effect_1",1,1,0.00117210229753348,2.93965541109899,NA,0.148148148148148,2.66666666666667,15.3333333333333,1,2.90450952107935,0.0351458900196375,1.21004561233378
"me_1_effect_1",1,1,0.00161026202756094,2.96966084016307,NA,0.166666666666667,3,15,1,2.90450952107935,0.0651513190837143,2.24310915873683
"me_1_effect_1",1,1,0.00221221629107045,3.02202350871232,NA,0.222222222222222,4,14,1,2.90450952107935,0.11751398763297,4.04591504280215
"me_1_effect_1",1,1,0.0030391953823132,3.12109216486715,NA,0.277777777777778,5,13,1,2.90450952107935,0.216582643787795,7.4567716929814
"me_1_effect_1",1,1,0.0041753189365604,3.28887647357182,NA,0.351851851851852,6.33333333333333,11.6666666666667,1,2.90450952107935,0.384366952492465,13.2334547262778
"me_1_effect_1",1,1,0.00573615251044868,3.44445187867943,NA,0.5,9,9,1,2.90450952107935,0.539942357600082,18.5897947202953
"me_1_effect_1",1,1,0.00788046281566991,3.63615997694638,NA,0.592592592592593,10.6666666666667,7.33333333333333,1,2.90450952107935,0.731650455867025,25.190155189959
"me_1_effect_1",1,1,0.0108263673387405,3.89451445499692,NA,0.648148148148148,11.6666666666667,6.33333333333333,1,2.90450952107935,0.990004933917572,34.0850985935028
"me_1_effect_1",1,1,0.0148735210729351,4.28380818209962,NA,0.685185185185185,12.3333333333333,5.66666666666667,1,2.90450952107935,1.37929866102027,47.4881783313178
"me_1_effect_1",1,1,0.0204335971785694,4.82893719311411,NA,0.833333333333333,15,3,1,2.90450952107935,1.92442767203476,66.2565454879148
"me_1_effect_1",1,1,0.0280721620394118,5.25666662273106,NA,0.888888888888889,16,2,1,2.90450952107935,2.35215710165171,80.9829365192653
"me_1_effect_1",1,1,0.0385662042116347,5.6545069260397,NA,0.925925925925926,16.6666666666667,1.33333333333333,1,2.90450952107935,2.74999740496034,94.6802682174858
"me_1_effect_1",1,1,0.0529831690628371,6.27978155583502,NA,0.944444444444444,17,1,1,2.90450952107935,3.37527203475567,116.207986589811
"me_1_effect_1",1,1,0.0727895384398315,6.62567620219056,NA,1,18,0,1,2.90450952107935,3.72116668111121,128.116869788341
"me_1_effect_1",1,1,0.1,6.62567620219056,NA,1,18,0,1,2.90450952107935,3.72116668111121,128.116869788341
"me_2.5_effect_0.25",2.5,0.25,1e-05,1.69041260281298,NA,0,0,18,1,1.69041260281298,0,0
"me_2.5_effect_0.25",2.5,0.25,1.37382379588326e-05,1.69835193757691,NA,0.0185185185185185,0.333333333333333,17.6666666666667,1,1.69041260281298,0.00793933476393427,0.469668455542901
"me_2.5_effect_0.25",2.5,0.25,1.8873918221351e-05,1.71286618393451,NA,0.0185185185185185,0.333333333333333,17.6666666666667,1,1.69041260281298,0.0224535811215256,1.32828997394844
"me_2.5_effect_0.25",2.5,0.25,2.59294379740467e-05,1.72765871382307,NA,0.0185185185185185,0.333333333333333,17.6666666666667,1,1.69041260281298,0.0372461110100892,2.20337395427062
"me_2.5_effect_0.25",2.5,0.25,3.56224789026244e-05,1.74957386093179,NA,0.037037037037037,0.666666666666667,17.3333333333333,1,1.69041260281298,0.0591612581188055,3.49981170398023
"me_2.5_effect_0.25",2.5,0.25,4.8939009184775e-05,1.77423553883751,NA,0.0740740740740741,1.33333333333333,16.6666666666667,1,1.69041260281298,0.0838229360245333,4.95872640117835
"me_2.5_effect_0.25",2.5,0.25,6.72335753649933e-05,1.80283170551304,NA,0.0740740740740741,1.33333333333333,16.6666666666667,1,1.69041260281298,0.112419102700057,6.65039425954246
"me_2.5_effect_0.25",2.5,0.25,9.23670857187387e-05,1.84457895832164,NA,0.0740740740740741,1.33333333333333,16.6666666666667,1,1.69041260281298,0.154166355508664,9.12004295591023
"me_2.5_effect_0.25",2.5,0.25,0.000126896100316792,1.89361634367411,NA,0.0740740740740741,1.33333333333333,16.6666666666667,1,1.69041260281298,0.203203740861135,12.0209551515995
"me_2.5_effect_0.25",2.5,0.25,0.000174332882219999,1.95645409093716,NA,0.0925925925925926,1.66666666666667,16.3333333333333,1,1.69041260281298,0.266041488124179,15.7382574929615
"me_2.5_effect_0.25",2.5,0.25,0.000239502661998749,1.99479796842505,NA,0.222222222222222,4,14,1,1.69041260281298,0.304385365612072,18.0065721886805
"me_2.5_effect_0.25",2.5,0.25,0.000329034456231267,2.042646011106,NA,0.222222222222222,4,14,1,1.69041260281298,0.352233408293016,20.8371262558545
"me_2.5_effect_0.25",2.5,0.25,0.000452035365636024,2.11074867987598,NA,0.222222222222222,4,14,1,1.69041260281298,0.420336077063001,24.8658863737485
