"XS-VLDL-PL","LDL-D","L-LDL-PL","L-LDL-P","L-LDL-FC","L-LDL-C","M-LDL-P","M-LDL-CE","S-LDL-P","S-LDL-C","IDL-FC","IDL-C","HDL-D","XL-HDL-TG","L-HDL-PL","M-HDL-PL","M-HDL-P","M-HDL-CE","S-HDL-P","ApoA1","ApoB","hdl","ldl","tg","CAD"
1,0.317706665056165,0.84068125078763,0.880903390561935,0.823825479925441,0.812234173300068,0.80553544858191,0.80285279747802,0.750135308406246,0.744782408971487,0.891749198953992,0.90513222924556,-0.0717596329743486,0.532320507991936,-0.0496538254449576,0.150317003034105,0.112974965828299,-0.158032783288143,0.147575977388537,0.27770572252611,0.73632957754279,-0.0175822851836339,0.144372268796128,0.121891773134678,0.0226701116501373
0.317706665056165,1,0.0527587071917022,0.0238446858830647,0.0936140150897654,0.0222971797878228,-0.153764452057339,-0.119146776756776,-0.297869935798971,-0.219036374705526,0.301018206003265,0.203621970397387,0.116165591506588,0.0225965319368063,0.165727372258103,0.0149505799392159,0.00578913581228728,-0.0373963486693105,-0.305930333531107,-0.172679025556925,-0.112199543054688,-0.0573818286518959,0.0836710355973171,0.034788742867041,0.0174884848889625
0.840681250787631,0.0527587071917022,1,0.952775366390625,0.978654326942468,0.981953694777159,0.927079752564678,0.919718755073578,0.876401520702886,0.839104428058135,0.874504085354542,0.929553551264717,-0.0935847476834625,0.46667929024255,-0.0249655952534274,0.215976704469394,0.15807551798126,-0.0402323995505475,0.340044585878508,0.402293665434235,0.805251193680057,0.0201306688901944,0.149668054302307,0.0610789185464386,0.03147353171234
0.880903390561935,0.0238446858830647,0.952775366390625,1,0.941330390010728,0.949570242807247,0.979853661547438,0.973506492477278,0.930501098735643,0.921361083872725,0.881035516334655,0.962270919430547,-0.106505159677333,0.469572886310439,-0.0561752344172922,0.151375189135318,0.105703354998801,-0.10076580953959,0.309227002800845,0.393626514222303,0.810655450161674,0.0144775891485627,0.142958219144244,0.0732656276017609,0.0118021676064739
0.823825479925441,0.0936140150897654,0.978654326942468,0.941330390010728,1,0.98427151855818,0.903874027403173,0.909319892632792,0.836634463742853,0.830092549833405,0.90214394281373,0.934849073619764,-0.0194914600906775,0.418686948838749,0.0323671830218034,0.162704908973621,0.101634671938198,-0.0658019489896077,0.244869735255744,0.397638844916781,0.752273052585091,0.0161198790501224,0.16718491230007,0.0518135354704168,0.0255900693303329
0.812234173300068,0.0222971797878228,0.981953694777159,0.949570242807247,0.98427151855818,1,0.930135281763097,0.941603769482182,0.870895294346277,0.856732285882908,0.875217807129108,0.932323666561606,-0.0910601404361489,0.421648298238451,-0.0399560120763179,0.140919344746748,0.083264366760071,-0.0798728291999025,0.286473514634224,0.384785081395927,0.804609533596994,0.0071748718597562,0.149089794986631,0.0650101322448887,0.0254478899714809
0.80553544858191,-0.153764452057339,0.927079752564678,0.979853661547438,0.903874027403173,0.930135281763098,1,0.987764526243078,0.973530259573176,0.951395759162442,0.801057466435059,0.903771181939526,-0.162970557137552,0.446615578893659,-0.118675539254985,0.127143903201058,0.0862395658794236,-0.108938765663725,0.374625728772339,0.398217828087446,0.825019012864668,0.0228472959063544,0.125200413938569,0.0651651729840368,0.00803496414469967
0.80285279747802,-0.119146776756776,0.919718755073578,0.973506492477278,0.909319892632792,0.941603769482182,0.987764526243078,1,0.943818469998246,0.942808741803064,0.813219227904281,0.912180370199212,-0.182503577618268,0.398147616747922,-0.128636600873079,0.0928203123908007,0.0492460116665308,-0.126502072371614,0.346399451147257,0.36524194918299,0.812279702194101,0.0141822085128783,0.126762744468602,0.0648688435153207,0.0014589538755408
0.750135308406246,-0.297869935798971,0.876401520702886,0.930501098735643,0.836634463742853,0.870895294346277,0.973530259573176,0.943818469998246,1,0.948386042434406,0.727715484218811,0.83342204976966,-0.125290218802081,0.509577643758075,-0.118461405417132,0.156666378957563,0.123186283359407,-0.0791000724831463,0.395912121659864,0.450067148723792,0.828303765974983,0.0362175706120235,0.100425462280767,0.0638520555497487,0.0160212944879458
0.744782408971487,-0.219036374705526,0.839104428058135,0.921361083872725,0.830092549833405,0.856732285882908,0.951395759162442,0.942808741803064,0.948386042434406,1,0.770905444719346,0.844510601909546,-0.135129290419168,0.414495965271496,-0.127667029910322,0.0836392439277725,0.0638615265479075,-0.109157429173995,0.320784280645722,0.386538286494476,0.82082812361475,0.0318085825666213,0.11668391303981,0.0574767711733468,-0.000112054489140858
0.891749198953992,0.301018206003265,0.874504085354542,0.881035516334655,0.90214394281373,0.875217807129108,0.801057466435059,0.813219227904281,0.727715484218811,0.770905444719346,1,0.923494618185357,0.0668344193659663,0.472709016882549,0.0963228595833606,0.170462629490235,0.130053782870448,-0.0553327977911768,0.118394983218212,0.365317037802093,0.722851308540828,0.00234403152828184,0.172406720076784,0.0979043783706542,0.0138919192336129
0.90513222924556,0.203621970397387,0.929553551264717,0.962270919430547,0.934849073619764,0.932323666561606,0.903771181939526,0.912180370199213,0.83342204976966,0.844510601909546,0.923494618185357,1,-0.0174989483384684,0.478381696364363,0.0152468839919533,0.134760940864663,0.0886114020806966,-0.0917410474786579,0.190676376128674,0.384677900864447,0.770642430559167,-0.00118515841125445,0.148206879476289,0.0836322804759651,0.0168870637663973
-0.0717596329743486,0.116165591506588,-0.0935847476834625,-0.106505159677333,-0.0194914600906775,-0.091060140436149,-0.162970557137552,-0.182503577618268,-0.125290218802081,-0.135129290419168,0.0668344193659662,-0.0174989483384684,1,0.442911001730673,0.839503116700259,0.275873699799625,0.2614471715291,0.325492873546704,-0.288985218347438,0.56113496815452,-0.2266887597624,0.120308475109167,-0.00279746358519039,-0.046458167641315,0.0240606505722914
0.532320507991936,0.0225965319368063,0.46667929024255,0.469572886310439,0.418686948838749,0.421648298238451,0.446615578893659,0.398147616747922,0.509577643758075,0.414495965271496,0.472709016882549,0.478381696364363,0.442911001730673,1,0.312753998181711,0.218806534129882,0.206828225801593,0.0175126635669484,-0.0190026609644061,0.500112238629301,0.483812937136332,0.051695671852214,0.0588955782679396,0.0587242023617238,0.0655893220347446
-0.0496538254449576,0.165727372258103,-0.0249655952534274,-0.0561752344172922,0.0323671830218034,-0.0399560120763179,-0.118675539254985,-0.128636600873079,-0.118461405417132,-0.127667029910322,0.0963228595833606,0.0152468839919533,0.839503116700259,0.312753998181711,1,0.631603194941139,0.629243972313502,0.686879008956267,0.112110012939546,0.671984568383758,-0.24674628500297,0.146918371429426,0.0492357389346427,-0.031691082777297,-0.0248699757719427
