"Index","Sigma_X_multiplier","Sigma_gamma_gamma_multiplier","SIV","Rank_1","Rank_2","Rank_3","Rank_4"
1,2.5,0.25,3.6,247,307,446,0
2,1,0.25,9,63,667,270,0
3,2.5,1,14.41,0,782,218,0
4,1,1,36.02,0,905,95,0
