"Outcome","MR-rr","Reg. MR-rr","Sparse MR-rr"
"LAS",-0.0122,-0.0122,-0.0123
"CES",-0.0042,-0.0042,-0.0044
"SVS",-0.0105,-0.0105,-0.0103
