"Outcome","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"Y1",-0.063,0.082,-0.202,-0.123,-0.065,0.191,-0.154,0.675,0.094
"Y2",-0.03,0.022,-0.054,-0.059,-0.018,0.091,-0.042,0.323,0.025
"Y3",-0.029,-0.231,0.569,-0.057,0.185,0.088,0.436,0.31,-0.264
