"Index","Sigma_X_multiplier","Sigma_gamma_gamma_multiplier","SIV","Rank_1","Rank_2","Rank_3","Rank_4"
1,2.5,0.25,3.6,124,339,537,0
2,1,0.25,9,1,690,309,0
3,2.5,1,14.41,0,801,199,0
4,1,1,36.02,0,928,72,0
