"Setting","Estimator","Bias_med","Bias_q1","Bias_q3","SD_med","SD_q1","SD_q3","SE_med","SE_q1","SE_q3","CP_med","CP_q1","CP_q3"
"me=2.5, effect=0.25","IVW",0.059,0.024,0.123,0.093,0.078,0.108,0.092,0.083,0.112,90.7,75.7,94.1
"me=2.5, effect=0.25","SRIVW",0.074,0.016,0.191,1.103,0.147,3.952,23.873,0.161,77.123,99.7,97.2,99.9
"me=2.5, effect=0.25","Naive MR-rr",0.06,0.026,0.122,0.083,0.062,0.101,0.086,0.074,0.106,89.7,74.2,95.6
"me=2.5, effect=0.25","MR-rr",0.141,0.049,0.273,2.431,1.525,6.084,26.311,15.434,44.157,100,100,100
"me=2.5, effect=0.25","Reg. MR-rr",0.035,0.017,0.071,0.214,0.167,0.347,0.256,0.215,0.394,99.7,99.3,99.9
"me=2.5, effect=0.25","Sparse MR-rr",0.042,0.013,0.124,0.631,0.38,1.055,,,,,,
"me=2.5, effect=0.25","MrDAG",0.078,0.044,0.173,0.029,0.021,0.048,0.043,0.031,0.05,39.6,19.1,48.8
"me=1, effect=0.25","IVW",0.033,0.017,0.091,0.107,0.098,0.148,0.112,0.099,0.142,93.9,90.8,94.8
"me=1, effect=0.25","SRIVW",0.032,0.018,0.067,0.267,0.204,0.772,13.422,0.25,36.761,98.1,97.1,99.6
"me=1, effect=0.25","Naive MR-rr",0.033,0.023,0.084,0.093,0.077,0.144,0.099,0.09,0.133,93.9,89.9,96.3
"me=1, effect=0.25","MR-rr",0.014,0.005,0.032,0.193,0.161,0.357,7.912,3.01,13.921,99.3,99.1,99.5
"me=1, effect=0.25","Reg. MR-rr",0.014,0.003,0.028,0.188,0.152,0.346,0.336,0.224,0.566,99,98.8,99.4
"me=1, effect=0.25","Sparse MR-rr",0.032,0.02,0.073,0.121,0.086,0.169,,,,,,
"me=1, effect=0.25","MrDAG",0.079,0.049,0.157,0.043,0.024,0.051,0.048,0.035,0.061,48.7,26.2,59.2
"me=2.5, effect=1","IVW",0.021,0.012,0.06,0.067,0.051,0.09,0.061,0.055,0.08,92.7,87.9,94.3
"me=2.5, effect=1","SRIVW",0.013,0.006,0.039,0.097,0.075,0.174,0.414,0.125,0.874,96,95.5,96.5
"me=2.5, effect=1","Naive MR-rr",0.018,0.012,0.059,0.055,0.043,0.081,0.054,0.044,0.075,91.9,86.1,93.7
"me=2.5, effect=1","MR-rr",0.008,0.002,0.022,0.084,0.062,0.142,0.171,0.121,0.342,96.1,95.3,96.8
"me=2.5, effect=1","Reg. MR-rr",0.008,0.002,0.022,0.083,0.062,0.142,0.103,0.086,0.181,96,95.2,96.8
"me=2.5, effect=1","Sparse MR-rr",0.01,0.004,0.02,0.06,0.053,0.102,,,,,,
"me=2.5, effect=1","MrDAG",0.066,0.044,0.126,0.04,0.022,0.078,0.042,0.026,0.066,49.1,36,66.2
"me=1, effect=1","IVW",0.019,0.006,0.042,0.074,0.049,0.1,0.064,0.055,0.088,94.5,92.7,95
"me=1, effect=1","SRIVW",0.018,0.011,0.036,0.088,0.057,0.142,0.084,0.063,0.122,95,94.6,95.7
"me=1, effect=1","Naive MR-rr",0.016,0.01,0.036,0.059,0.041,0.078,0.054,0.047,0.08,94,92.1,94.6
"me=1, effect=1","MR-rr",0.016,0.008,0.026,0.069,0.049,0.106,0.068,0.054,0.105,94.9,94.4,95.4
"me=1, effect=1","Reg. MR-rr",0.016,0.008,0.026,0.069,0.049,0.106,0.068,0.054,0.105,94.9,94.4,95.4
"me=1, effect=1","Sparse MR-rr",0.013,0.006,0.026,0.051,0.043,0.085,,,,,,
"me=1, effect=1","MrDAG",0.061,0.034,0.102,0.037,0.015,0.076,0.041,0.029,0.068,59.1,48.4,70.4
