"Outcome","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"Y1",-0.204,-0.168,0.053,-0.02,0.086,0.333,0.137,0.024,-0.187
"Y2",-0.06,0.095,-0.452,0.429,0.039,0.189,-0.172,-0.393,-0.601
"Y3",0.354,0.329,-0.215,0.149,-0.146,-0.553,-0.293,-0.147,0.181
