"Pathway","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"Pathway 1",0,-17.171,42.255,0,13.727,0,32.369,0,-19.61
"Pathway 2",4.577,0,0,8.995,0,-13.896,0,-49.165,0
