"Outcome","Exposure","Estimator","Lower","Upper"
"CES","MMP12","IVW",-0.272677082275643,-0.0628971179622112
"CES","MMP12","SRIVW",-0.397959552041067,-0.0694824688715433
"SVS","SCG3","SRIVW",0.00277478799488985,0.582647803093177
"CES","MMP12","MrDAG",-0.125557785465978,-0.00200727182177615
"SVS","MXRA8","MrDAG",-0.285862266386167,-0.000732818346966862
