"Outcome","Exposure","Estimator","Lower","Upper"
"CES","MMP12","IVW",-0.272677082275643,-0.0628971179622112
"CES","MMP12","SRIVW",-0.397959552041067,-0.0694824688715433
"SVS","SCG3","SRIVW",0.00277478799488985,0.582647803093177
"CES","MMP12","Naive MR-rr",-0.258231751292778,-0.00195091357894535
"CES","MMP12","MR-rr",-0.4107999221468,-0.00916358728492066
"CES","MMP12","Reg. MR-rr",-0.410575774076832,-0.00916363118902099
"CES","MMP12","Sparse MR-rr",-0.384142171710069,-0.00250006579677989
"CES","MMP12","MrDAG",-0.125557785465978,-0.00200727182177615
"SVS","MXRA8","MrDAG",-0.285862266386167,-0.000732818346966862
