"Protein","MR-rr Pathway 1","MR-rr Pathway 2","Reg. MR-rr Pathway 1","Reg. MR-rr Pathway 2","Sparse MR-rr Pathway 1","Sparse MR-rr Pathway 2"
"MMP12",11.523,-5.981,11.523,-5.981,12.981,0
"CNTN1",1.066,1.669,1.066,1.669,0,1.908
"FGL1",-1.704,-0.678,-1.704,-0.678,-1.063,-1.918
"MXRA8",21.527,15.316,21.527,15.316,7.852,23.097
"CNTFR",3.298,0.602,3.298,0.602,0,0
"SCG3",-9.3,1.305,-9.3,1.305,-8.208,-3.388
"HTRA1",-12.453,3.456,-12.453,3.456,-12.335,0
"CLEC3B",-6.435,-1.675,-6.435,-1.675,0,0
"ANTXR2",-8.231,-8.862,-8.231,-8.862,0,-12.072
