"Package","Version"
"mr.divw","0.1.0"
"MrDAG","0.1.1"
"CVXR","1.0-15"
"osqp","0.6.3.3"
"MASS","7.3-60.0.1"
"foreach","1.5.2"
"doParallel","1.0.17"
"parallel","4.3.1"
"pbapply","1.7-4"
"ggplot2","3.5.1"
"dplyr","1.1.4"
"tidyr","1.3.1"
"purrr","1.0.2"
"patchwork","1.3.0"
"ggdist","3.3.3"
"pheatmap","1.0.12"
"reshape2","1.4.4"
"readxl","1.4.3"
"gtools","3.9.5"
"latex2exp","0.9.6"
"scales","1.3.0"
