"Protein","MR-rr Pathway 1","Reg. MR-rr Pathway 1","Sparse MR-rr Pathway 1","MR-rr Pathway 2","Reg. MR-rr Pathway 2","Sparse MR-rr Pathway 2"
"MMP12",11.523,11.523,12.981,-5.981,-5.981,0
"CNTN1",1.066,1.066,0,1.669,1.669,1.908
"FGL1",-1.704,-1.704,-1.063,-0.678,-0.678,-1.918
"MXRA8",21.527,21.527,7.852,15.316,15.316,23.097
"CNTFR",3.298,3.298,0,0.602,0.602,0
"SCG3",-9.3,-9.3,-8.208,1.305,1.305,-3.388
"HTRA1",-12.453,-12.453,-12.335,3.456,3.456,0
"CLEC3B",-6.435,-6.435,0,-1.675,-1.675,0
"ANTXR2",-8.231,-8.231,0,-8.862,-8.862,-12.072
