"Protein","MR-rr Pathway 1","Reg. MR-rr Pathway 1","Sparse MR-rr Pathway 1"
"MMP12",11.523,11.523,11.905
"CNTN1",1.066,1.066,0
"FGL1",-1.704,-1.704,-1.812
"MXRA8",21.527,21.527,22.27
"CNTFR",3.298,3.298,0
"SCG3",-9.3,-9.3,-8.69
"HTRA1",-12.453,-12.453,-11.802
"CLEC3B",-6.435,-6.435,-5.432
"ANTXR2",-8.231,-8.231,-8.024
