"Outcome","MR-rr Pathway 1","Reg. MR-rr Pathway 1","Sparse MR-rr Pathway 1","MR-rr Pathway 2","Reg. MR-rr Pathway 2","Sparse MR-rr Pathway 2"
"LAS",-0.0122,-0.0122,-0.0121,0.0033,0.0033,-0.0034
"CES",-0.0042,-0.0042,-0.0086,0.0096,0.0096,0.0061
"SVS",-0.0105,-0.0105,-0.0054,-0.0071,-0.0071,-0.0115
