"Outcome","MR-rr Pathway 1","Reg. MR-rr Pathway 1","Sparse MR-rr Pathway 1"
"LAS",-0.0122,-0.0122,-0.0123
"CES",-0.0042,-0.0042,-0.0044
"SVS",-0.0105,-0.0105,-0.0103
